Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
Stoneleigh,Epsom and Ewellout-boundary,South Western Railway,SNL,5,1932,C,51.3637°N 0.2487°W
Stratford,Newham,TfL Rail,SRA,3,1839,B,51.5417°N 0.0037°W
Stratford International,Newham,Southeastern,SFA,3,2009,unlisted,51.5448°N 0.0087°W
Strawberry Hill[52],Richmond upon Thames,South Western Railway,STW,5,1873,C,51.4389°N 0.3388°W
Streatham[12],Lambeth,Southern,STE,3,1856,D,51.4260°N 0.1311°W
Streatham Common[12],Lambeth,Southern,SRC,3,1862,C,51.4187°N 0.1359°W
Streatham Hill[53],Lambeth,Southern,SRH,3,1856,C,51.4380°N 0.1271°W
Sudbury & Harrow Road[54],Brent,Chiltern Railways,SUD,4,1910,F,51.5540°N 0.3167°W
Sudbury Hill Harrow[54],Harrow,Chiltern Railways,SDH,4,1910,F,51.5589°N 0.3358°W
Sundridge Park[55],Bromley,Southeastern,SUP,4,1878,E,51.4137°N 0.0221°E
Surbiton,Kingston upon Thames,South Western Railway,SUR,6,1838,B,51.3926°N 0.3044°W
Surrey Quays,Southwark,London Overground,SQE,2,1884,unlisted,51.4933°N 0.0477°W
Sutton[56],Sutton,Southern,SUO,5,1847,C,51.3601°N 0.1903°W
Sutton Common,Sutton,Thameslink,SUC,4,1930,F,51.3751°N 0.1964°W
Swanley,Sevenoaksout-boundary,Southeastern,SAY,8,1862,C,51.3934°N 0.1690°E
Sydenham,Lewisham,London Overground,SYD,3,1839,D,51.4268°N 0.0545°W
Sydenham Hill,Southwark,Southeastern,SYH,3,1862,E,51.4326°N 0.0802°W
Syon Lane[57],Hounslow,South Western Railway,SYL,4,1925,F,51.4818°N 0.3248°W
Tadworth,Reigate and Bansteadout-boundary,Southern,TAD,6,1900,E,51.2920°N 0.2360°W
Tattenham Corner,Reigate and Bansteadout-boundary,Southern,TAT,6,1901,E,51.3092°N 0.2426°W
Teddington,Richmond upon Thames,South Western Railway,TED,6,1864,C,51.4247°N 0.3325°W
Thames Ditton,Elmbridgeout-boundary,South Western Railway,THD,6,1849,D,51.3886°N 0.3383°W
Theobalds Grove,Broxbourneout-boundary,London Overground,TEO,7,1891,D,51.6937°N 0.0327°W
Thornton Heath,Croydon,Southern,TTH,4,1862,C,51.3985°N 0.1004°W
Tolworth,Kingston upon Thames,South Western Railway,TOL,5,1938,E,51.3771°N 0.2793°W
Tooting[58],Merton,Thameslink,TOO,3,1868,E,51.4196°N 0.1603°W
Tottenham Hale,Haringey,Greater Anglia,TOM,3,1840,D,51.5902°N 0.0611°W
Tulse Hill[12],Lambeth,Southern,TUH,3,1868,D,51.4399°N 0.1049°W
Turkey Street[59],Enfield,London Overground,TUR,6,1891,E,51.6725°N 0.0474°W
Twickenham[60],Richmond upon Thames,South Western Railway,TWI,5,1848,C,51.4504°N 0.3296°W
Upminster,Havering,c2c,UPM,6,1885,C,51.5588°N 0.2509°E
Upper Holloway,Islington,London Overground,UHL,2,1868,E,51.5638°N 0.1298°W
Upper Warlingham,Tandridgeout-boundary,Southern,UWL,6,1884,D,51.3085°N 0.0780°W
VauxhallLondon,Lambeth,South Western Railway,VXH,1/2,1848,B,51.4859°N 0.1229°W
VictoriaLondon,Westminster,Network Rail,VIC,1,1862,A,51.4966°N 0.1448°W
Waddon,Croydon,Southern,WDO,5,1847,D,51.3674°N 0.1170°W
Wallington,Sutton,Southern,WLT,5,1847,C,51.3592°N 0.1533°W
Waltham Cross,Broxbourneout-boundary,Greater Anglia,WLC,7,1842,E,51.6851°N 0.0266°W
Walthamstow Central,Waltham Forest,London Overground,WHC,3,1869,C,51.5831°N 0.0192°W
Walthamstow Queen's Road,Waltham Forest,London Overground,WMW,3,1894,E,51.5817°N 0.0240°W
Wandsworth Common[61],Wandsworth,Southern,WSW,3,1895,D,51.4464°N 0.1635°W
Wandsworth Road,Wandsworth,London Overground,WWR,2,1863,F,51.4702°N 0.1390°W
Wandsworth Town[12],Wandsworth,South Western Railway,WNT,2,1846,C,51.4610°N 0.1879°W
Wanstead Park,Newham,London Overground,WNP,3,1894,E,51.5518°N 0.0264°E
Wapping,Tower Hamlets,London Overground,WPE,2,1869,unlisted,51.5044°N 0.0558°W
WaterlooLondon,Lambeth,Network Rail,WAT,1,1848,A,51.5031°N 0.1132°W
Waterloo EastLondon,Lambeth,Southeastern,WAE,1,1869,B,51.5041°N 0.1101°W
Watford High Street,Watfordout-boundary,London Overground,WFH,8,1862,D,51.6525°N 0.3918°W
Watford Junction,Watfordout-boundary,London Northwestern Railway,WFJ,W,1858,B,51.6635°N 0.3958°W
Welling,Bexley,Southeastern,WLI,4,1895,C,51.4647°N 0.1017°E
Wembley Central[28][62],Brent,London Underground,WMB,4,1842,C,51.5519°N 0.2964°W
Wembley Stadium,Brent,Chiltern Railways,WCX,4,1906,F,51.5543°N 0.2863°W
West Brompton,Kensington and Chelsea,London Underground,WBP,2,1869,E,51.4866°N 0.1957°W
Westcombe Park[63],Greenwich,Southeastern,WCB,3,1879,D,51.4842°N 0.0187°E
West Croydon,Croydon,London Overground,WCY,5,1839,C,51.3785°N 0.1020°W
West Drayton[64],Hillingdon,TfL Rail,WDT,6,1838,E,51.5101°N 0.4719°W
West Dulwich,Southwark,Southeastern,WDU,3,1862,E,51.4409°N 0.0906°W
West Ealing,Ealing,TfL Rail,WEA,3,1871,E,51.5137°N 0.3203°W
West Ham,Newham,London Underground,WEH,3,1901,C,51.5284°N 0.0066°E
West Hampstead,Camden,London Overground,WHD,2,1888,D,51.5473°N 0.1913°W
West Hampstead Thameslink,Camden,Thameslink,WHP,2,1871,E,51.54848°N 0.19183°W
West Norwood[12],Lambeth,Southern,WNW,3,1856,D,51.4318°N 0.1035°W
West Ruislip,Hillingdon,Chiltern Railways,WRU,6,1906,F,51.5696°N 0.4376°W
West Sutton,Sutton,Thameslink,WSU,5,1930,E,51.3662°N 0.2051°W
West Wickham,Bromley,Southeastern,WWI,5,1882,D,51.3813°N 0.0145°W
Whitechapel,Tower Hamlets,London Underground,ZLW,2,1876,unlisted,51.5190°N 0.0610°W
White Hart Lane,Haringey,London Overground,WHL,3,1872,E,51.6049°N 0.0711°W
Whitton,Richmond upon Thames,South Western Railway,WTN,5,1930,C,51.4495°N 0.3578°W
Whyteleafe,Tandridgeout-boundary,Southern,WHY,6,1900,E,51.3097°N 0.0811°W
Whyteleafe South,Tandridgeout-boundary,Southern,WHS,6,1856,E,51.3034°N 0.0768°W
Willesden Junction,Brent,London Overground,WIJ,2/3,1866,C,51.5324°N 0.2439°W
Wimbledon,Merton,South Western Railway,WIM,3,1838,B,51.4232°N 0.2043°W
Wimbledon Chase,Merton,Thameslink,WBO,3,1930,F,51.4095°N 0.2142°W
Winchmore Hill,Enfield,Great Northern,WIH,4,1871,D,51.6341°N 0.1013°W
Woodgrange Park,Newham,London Overground,WGR,3/4,1894,E,51.5487°N 0.0454°E
Woodmansterne,Croydon,Southern,WME,6,1904,E,51.3192°N 0.1539°W
Wood Street[48],Waltham Forest,London Overground,WST,4,1873,D,51.5864°N 0.0021°W
Woolwich Arsenal,Greenwich,Southeastern,WWA,4,1849,C,51.4898°N 0.0694°E
Woolwich Dockyard[65],Greenwich,Southeastern,WWD,3,1849,E,51.4913°N 0.0536°E
Worcester Park[66],Sutton,South Western Railway,WCP,4,1859,C,51.3804°N 0.2412°W
